{\rtf1\ansi\ansicpg1252\cocoartf2867
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Aika;Raportointiryhm\'c3\'a4;val\
Kaikki vuodet;Legionelloosi;873\
Vuosi 1995;Legionelloosi;5\
tammikuu 1995;Legionelloosi;\
helmikuu 1995;Legionelloosi;\
maaliskuu 1995;Legionelloosi;\
huhtikuu 1995;Legionelloosi;1\
toukokuu 1995;Legionelloosi;1\
kes\'c3\'a4kuu 1995;Legionelloosi;1\
hein\'c3\'a4kuu 1995;Legionelloosi;0\
elokuu 1995;Legionelloosi;1\
syyskuu 1995;Legionelloosi;0\
lokakuu 1995;Legionelloosi;1\
marraskuu 1995;Legionelloosi;0\
joulukuu 1995;Legionelloosi;0\
Vuosi 1996;Legionelloosi;12\
tammikuu 1996;Legionelloosi;0\
helmikuu 1996;Legionelloosi;1\
maaliskuu 1996;Legionelloosi;3\
huhtikuu 1996;Legionelloosi;1\
toukokuu 1996;Legionelloosi;0\
kes\'c3\'a4kuu 1996;Legionelloosi;1\
hein\'c3\'a4kuu 1996;Legionelloosi;1\
elokuu 1996;Legionelloosi;3\
syyskuu 1996;Legionelloosi;1\
lokakuu 1996;Legionelloosi;1\
marraskuu 1996;Legionelloosi;0\
joulukuu 1996;Legionelloosi;0\
Vuosi 1997;Legionelloosi;11\
tammikuu 1997;Legionelloosi;0\
helmikuu 1997;Legionelloosi;1\
maaliskuu 1997;Legionelloosi;0\
huhtikuu 1997;Legionelloosi;2\
toukokuu 1997;Legionelloosi;0\
kes\'c3\'a4kuu 1997;Legionelloosi;3\
hein\'c3\'a4kuu 1997;Legionelloosi;1\
elokuu 1997;Legionelloosi;2\
syyskuu 1997;Legionelloosi;0\
lokakuu 1997;Legionelloosi;1\
marraskuu 1997;Legionelloosi;0\
joulukuu 1997;Legionelloosi;1\
Vuosi 1998;Legionelloosi;8\
tammikuu 1998;Legionelloosi;1\
helmikuu 1998;Legionelloosi;0\
maaliskuu 1998;Legionelloosi;0\
huhtikuu 1998;Legionelloosi;0\
toukokuu 1998;Legionelloosi;0\
kes\'c3\'a4kuu 1998;Legionelloosi;1\
hein\'c3\'a4kuu 1998;Legionelloosi;1\
elokuu 1998;Legionelloosi;2\
syyskuu 1998;Legionelloosi;0\
lokakuu 1998;Legionelloosi;0\
marraskuu 1998;Legionelloosi;1\
joulukuu 1998;Legionelloosi;2\
Vuosi 1999;Legionelloosi;8\
tammikuu 1999;Legionelloosi;0\
helmikuu 1999;Legionelloosi;0\
maaliskuu 1999;Legionelloosi;1\
huhtikuu 1999;Legionelloosi;1\
toukokuu 1999;Legionelloosi;0\
kes\'c3\'a4kuu 1999;Legionelloosi;1\
hein\'c3\'a4kuu 1999;Legionelloosi;0\
elokuu 1999;Legionelloosi;1\
syyskuu 1999;Legionelloosi;0\
lokakuu 1999;Legionelloosi;3\
marraskuu 1999;Legionelloosi;0\
joulukuu 1999;Legionelloosi;1\
Vuosi 2000;Legionelloosi;7\
tammikuu 2000;Legionelloosi;0\
helmikuu 2000;Legionelloosi;0\
maaliskuu 2000;Legionelloosi;2\
huhtikuu 2000;Legionelloosi;0\
toukokuu 2000;Legionelloosi;1\
kes\'c3\'a4kuu 2000;Legionelloosi;0\
hein\'c3\'a4kuu 2000;Legionelloosi;0\
elokuu 2000;Legionelloosi;1\
syyskuu 2000;Legionelloosi;0\
lokakuu 2000;Legionelloosi;1\
marraskuu 2000;Legionelloosi;1\
joulukuu 2000;Legionelloosi;1\
Vuosi 2001;Legionelloosi;17\
tammikuu 2001;Legionelloosi;2\
helmikuu 2001;Legionelloosi;0\
maaliskuu 2001;Legionelloosi;3\
huhtikuu 2001;Legionelloosi;0\
toukokuu 2001;Legionelloosi;2\
kes\'c3\'a4kuu 2001;Legionelloosi;0\
hein\'c3\'a4kuu 2001;Legionelloosi;1\
elokuu 2001;Legionelloosi;2\
syyskuu 2001;Legionelloosi;0\
lokakuu 2001;Legionelloosi;1\
marraskuu 2001;Legionelloosi;2\
joulukuu 2001;Legionelloosi;4\
Vuosi 2002;Legionelloosi;18\
tammikuu 2002;Legionelloosi;0\
helmikuu 2002;Legionelloosi;1\
maaliskuu 2002;Legionelloosi;0\
huhtikuu 2002;Legionelloosi;2\
toukokuu 2002;Legionelloosi;2\
kes\'c3\'a4kuu 2002;Legionelloosi;3\
hein\'c3\'a4kuu 2002;Legionelloosi;2\
elokuu 2002;Legionelloosi;1\
syyskuu 2002;Legionelloosi;4\
lokakuu 2002;Legionelloosi;2\
marraskuu 2002;Legionelloosi;1\
joulukuu 2002;Legionelloosi;0\
Vuosi 2003;Legionelloosi;21\
tammikuu 2003;Legionelloosi;1\
helmikuu 2003;Legionelloosi;2\
maaliskuu 2003;Legionelloosi;2\
huhtikuu 2003;Legionelloosi;1\
toukokuu 2003;Legionelloosi;1\
kes\'c3\'a4kuu 2003;Legionelloosi;1\
hein\'c3\'a4kuu 2003;Legionelloosi;2\
elokuu 2003;Legionelloosi;5\
syyskuu 2003;Legionelloosi;2\
lokakuu 2003;Legionelloosi;1\
marraskuu 2003;Legionelloosi;1\
joulukuu 2003;Legionelloosi;2\
Vuosi 2004;Legionelloosi;15\
tammikuu 2004;Legionelloosi;2\
helmikuu 2004;Legionelloosi;1\
maaliskuu 2004;Legionelloosi;1\
huhtikuu 2004;Legionelloosi;2\
toukokuu 2004;Legionelloosi;1\
kes\'c3\'a4kuu 2004;Legionelloosi;0\
hein\'c3\'a4kuu 2004;Legionelloosi;1\
elokuu 2004;Legionelloosi;3\
syyskuu 2004;Legionelloosi;0\
lokakuu 2004;Legionelloosi;1\
marraskuu 2004;Legionelloosi;2\
joulukuu 2004;Legionelloosi;1\
Vuosi 2005;Legionelloosi;14\
tammikuu 2005;Legionelloosi;2\
helmikuu 2005;Legionelloosi;1\
maaliskuu 2005;Legionelloosi;1\
huhtikuu 2005;Legionelloosi;0\
toukokuu 2005;Legionelloosi;0\
kes\'c3\'a4kuu 2005;Legionelloosi;1\
hein\'c3\'a4kuu 2005;Legionelloosi;3\
elokuu 2005;Legionelloosi;0\
syyskuu 2005;Legionelloosi;1\
lokakuu 2005;Legionelloosi;3\
marraskuu 2005;Legionelloosi;2\
joulukuu 2005;Legionelloosi;0\
Vuosi 2006;Legionelloosi;20\
tammikuu 2006;Legionelloosi;2\
helmikuu 2006;Legionelloosi;0\
maaliskuu 2006;Legionelloosi;0\
huhtikuu 2006;Legionelloosi;0\
toukokuu 2006;Legionelloosi;1\
kes\'c3\'a4kuu 2006;Legionelloosi;4\
hein\'c3\'a4kuu 2006;Legionelloosi;1\
elokuu 2006;Legionelloosi;4\
syyskuu 2006;Legionelloosi;0\
lokakuu 2006;Legionelloosi;5\
marraskuu 2006;Legionelloosi;2\
joulukuu 2006;Legionelloosi;1\
Vuosi 2007;Legionelloosi;44\
tammikuu 2007;Legionelloosi;7\
helmikuu 2007;Legionelloosi;0\
maaliskuu 2007;Legionelloosi;1\
huhtikuu 2007;Legionelloosi;0\
toukokuu 2007;Legionelloosi;2\
kes\'c3\'a4kuu 2007;Legionelloosi;1\
hein\'c3\'a4kuu 2007;Legionelloosi;3\
elokuu 2007;Legionelloosi;3\
syyskuu 2007;Legionelloosi;5\
lokakuu 2007;Legionelloosi;9\
marraskuu 2007;Legionelloosi;10\
joulukuu 2007;Legionelloosi;3\
Vuosi 2008;Legionelloosi;27\
tammikuu 2008;Legionelloosi;2\
helmikuu 2008;Legionelloosi;1\
maaliskuu 2008;Legionelloosi;0\
huhtikuu 2008;Legionelloosi;0\
toukokuu 2008;Legionelloosi;1\
kes\'c3\'a4kuu 2008;Legionelloosi;0\
hein\'c3\'a4kuu 2008;Legionelloosi;4\
elokuu 2008;Legionelloosi;1\
syyskuu 2008;Legionelloosi;2\
lokakuu 2008;Legionelloosi;7\
marraskuu 2008;Legionelloosi;5\
joulukuu 2008;Legionelloosi;4\
Vuosi 2009;Legionelloosi;42\
tammikuu 2009;Legionelloosi;9\
helmikuu 2009;Legionelloosi;6\
maaliskuu 2009;Legionelloosi;1\
huhtikuu 2009;Legionelloosi;0\
toukokuu 2009;Legionelloosi;2\
kes\'c3\'a4kuu 2009;Legionelloosi;3\
hein\'c3\'a4kuu 2009;Legionelloosi;7\
elokuu 2009;Legionelloosi;1\
syyskuu 2009;Legionelloosi;2\
lokakuu 2009;Legionelloosi;5\
marraskuu 2009;Legionelloosi;5\
joulukuu 2009;Legionelloosi;1\
Vuosi 2010;Legionelloosi;31\
tammikuu 2010;Legionelloosi;4\
helmikuu 2010;Legionelloosi;2\
maaliskuu 2010;Legionelloosi;4\
huhtikuu 2010;Legionelloosi;5\
toukokuu 2010;Legionelloosi;3\
kes\'c3\'a4kuu 2010;Legionelloosi;1\
hein\'c3\'a4kuu 2010;Legionelloosi;0\
elokuu 2010;Legionelloosi;2\
syyskuu 2010;Legionelloosi;1\
lokakuu 2010;Legionelloosi;3\
